#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Acalyptratae	no	0	0	0	0	0	0
Acaroidea	no	0	0	0	0	0	0
Accipitridae	no	0	0	0	0	0	0
Accipitriformes	no	0	0	0	0	0	0
Achelata	no	0	0	0	0	0	0
Acraea	no	0	0	0	0	0	0
Acrididae	no	0	0	0	0	0	0
Acridomorpha	no	0	0	0	0	0	0
Acrodonta	no	0	0	0	0	0	0
Adephaga	no	0	0	0	0	0	0
Afrotheria	no	53	0	0	0	0	0
Aleocharinae	no	0	0	0	0	0	0
Aleyrodoidea	no	0	0	0	0	0	0
Alpheoidea	no	0	0	0	0	0	0
Ambystoma	no	1	0	0	0	0	0
Americhelydia	no	0	0	0	0	0	0
Amphisbaenia	no	0	0	0	0	0	0
Anareolatae	no	0	0	0	0	0	0
Anatidae	no	23	0	0	0	0	0
Anguimorpha	no	0	0	0	0	0	0
Anomaluromorpha	no	4	0	0	0	0	0
Anomopoda	no	0	0	0	0	0	0
Anopheles	no	0	0	0	0	0	0
Anostraca	no	0	0	0	0	0	0
Anura	no	0	0	0	0	0	0
Aphidinae	no	0	0	0	0	0	0
Aphidomorpha	no	0	0	0	0	0	0
Apidae	no	0	0	0	0	0	0
Apocrita	no	0	0	0	0	0	0
Apodiformes	no	29	0	0	0	0	0
Apoditrysia	no	0	0	0	0	0	0
Arachnida	no	0	0	0	0	0	0
Aradidae	no	0	0	0	0	0	0
Araneae	no	0	0	0	0	0	0
Archaeognatha	no	0	0	0	0	0	0
Arctiinae	no	0	0	0	0	0	0
Argasidae	no	0	0	0	0	0	0
Astacidea	no	0	0	0	0	0	0
Astigmata	no	0	0	0	0	0	0
Athyma	no	0	0	0	0	0	0
Atkinsoniella	no	1	0	0	0	0	0
Atyoidea	no	0	0	0	0	0	0
Azeliinae	no	0	0	0	0	0	0
Bactrocera	no	0	0	0	0	0	0
Balanomorpha	no	0	0	0	0	0	0
Bifurcata	no	0	0	0	0	0	0
Blattodea	no	0	0	0	0	0	0
Bombycidae	no	0	0	0	0	0	0
Bostrichiformia	no	0	0	0	0	0	0
Bovidae	yes	107897	0.000950468	2.47889e-07	0.0127947	3.55938e-08	0.0334234	
Braconidae	no	0	0	0	0	0	0
Bucerotiformes	no	0	0	0	0	0	0
Buprestidae	no	0	0	0	0	0	0
Calliphoridae	no	0	0	0	0	0	0
Callosciurinae	no	91	0	0	0	0	0
Calopterygoidea	no	0	0	0	0	0	0
Calyptratae	no	0	0	0	0	0	0
Canidae	no	251	0	0	0	0	0
Caniformia	no	119	0	0	0	0	0
Carabinae	no	0	0	0	0	0	0
Cardinalidae	no	0	0	0	0	0	0
Caridea	no	0	0	0	0	0	0
Carnivora	yes	38504	0.960421	0.539439	0.999813	0.0819177	0.999976	
Caudata	no	4	0	0	0	0	0
Cavilabiata	no	0	0	0	0	0	0
Cephalophus	no	42	0	0	0	0	0
Cerambycinae	no	0	0	0	0	0	0
Cercopithecidae	no	20	0	0	0	0	0
Cervus	no	4	0	0	0	0	0
Cetacea	no	75	0	0	0	0	0
Charadriiformes	no	3	0	0	0	0	0
Chelodina	no	0	0	0	0	0	0
Chelonoidis	no	0	0	0	0	0	0
Cherax	no	11	0	0	0	0	0
Chironominae	no	0	0	0	0	0	0
Chrysomus	no	0	0	0	0	0	0
Cicadettinae	no	0	0	0	0	0	0
Cimicomorpha	no	0	0	0	0	0	0
Cingulata	no	205	0	0	0	0	0
Coccinellinae	no	0	0	0	0	0	0
Coenagrionoidea	no	0	0	0	0	0	0
Coleoptera	no	0	0	0	0	0	0
Colubridae	no	0	0	0	0	0	0
Colubroidea	no	4	0	0	0	0	0
Coptotermes	no	0	0	0	0	0	0
Coraciiformes	no	0	0	0	0	0	0
Coreidae	no	0	0	0	0	0	0
Coronuloidea	no	0	0	0	0	0	0
Corvoidea	no	40	0	0	0	0	0
Corvus	no	2	0	0	0	0	0
Cossoidea	no	0	0	0	0	0	0
Crambidae	no	1	0	0	0	0	0
Crangonyctoidea	no	0	0	0	0	0	0
Cricetidae	no	12	0	0	0	0	0
Crocidura	no	2	0	0	0	0	0
Crocodylia	no	0	0	0	0	0	0
Crocodylus	no	0	0	0	0	0	0
Cryptodira	no	0	0	0	0	0	0
Cryptorhynchinae	no	0	0	0	0	0	0
Cucujiformia	no	0	0	0	0	0	0
Cucujoidea	no	0	0	0	0	0	0
Cuculiformes	no	0	0	0	0	0	0
Culex	no	0	0	0	0	0	0
Culicinae	no	0	0	0	0	0	0
Culicomorpha	no	0	0	0	0	0	0
Darevskia	no	0	0	0	0	0	0
Dermacentor	no	0	0	0	0	0	0
Didelphidae	no	4	0	0	0	0	0
Dionycha	no	0	0	0	0	0	0
Dipodidae	no	0	0	0	0	0	0
Diprotodontia	no	19	0	0	0	0	0
Ditrysia	no	0	0	0	0	0	0
Dolichopodidae	no	0	0	0	0	0	0
Emberiza	no	3	0	0	0	0	0
Empidoidea	no	0	0	0	0	0	0
Endopterygota	no	0	0	0	0	0	0
Epeorus	no	0	0	0	0	0	0
Epiprocta	no	0	0	0	0	0	0
Equus	no	71	0	0	0	0	0
Eremias	no	0	0	0	0	0	0
Eulipotyphla	no	427	0	0	0	0	0
Eumantodea	no	0	0	0	0	0	0
Felidae	yes	3585	3.95776e-08	6.90504e-10	4.10106e-05	1.06696e-10	0.000438013	
Folivora	no	107	0	0	0	0	0
Fordinae	no	0	0	0	0	0	0
Formicidae	no	0	0	0	0	0	0
Fulgoroidea	no	0	0	0	0	0	0
Galliformes	no	22	0	0	0	0	0
Garrulax	no	1	0	0	0	0	0
Gebiidea	no	0	0	0	0	0	0
Gekkonidae	no	0	0	0	0	0	0
Geometridae	no	0	0	0	0	0	0
Glires	no	9	0	0	0	0	0
Gonodactyloidea	no	0	0	0	0	0	0
Grapsoidea	no	0	0	0	0	0	0
Gruiformes	no	5	0	0	0	0	0
Grus	no	0	0	0	0	0	0
Gryllidea	no	1	0	0	0	0	0
Gymnophiona	no	0	0	0	0	0	0
Hadziida	no	0	0	0	0	0	0
Haemaphysalis	no	0	0	0	0	0	0
Harpalinae	no	0	0	0	0	0	0
Henophidia	no	0	0	0	0	0	0
Hepialoidea	no	0	0	0	0	0	0
Hesperiidae	no	0	0	0	0	0	0
Heterotermes	no	0	0	0	0	0	0
Heterotremata	no	1	0	0	0	0	0
Hippoboscoidea	no	0	0	0	0	0	0
Hirundo	no	0	0	0	0	0	0
Homininae	yes	3872	1.90757e-05	2.8089e-07	0.00134139	7.58506e-08	0.00600902	
Hominoidea	no	9	0	0	0	0	0
Hydropsychoidea	no	0	0	0	0	0	0
Hymenopodidae	no	0	0	0	0	0	0
Hymenoptera	no	0	0	0	0	0	0
Hynobius	no	0	0	0	0	0	0
Hypsiglena	no	0	0	0	0	0	0
Hystricomorpha	no	17	0	0	0	0	0
Isotomidae	no	0	0	0	0	0	0
Ixodes	no	0	0	0	0	0	0
Junonia	no	0	0	0	0	0	0
Lacertibaenia	no	0	0	0	0	0	0
Lampyridae	no	0	0	0	0	0	0
Lepadoidea	no	0	0	0	0	0	0
Lepilemur	no	37	0	0	0	0	0
Lepus	no	0	0	0	0	0	0
Lethe	no	0	0	0	0	0	0
Limenitidinae	no	0	0	0	0	0	0
Limenitis	no	0	0	0	0	0	0
Lonchura	no	20	0	0	0	0	0
Lorisiformes	no	14	0	0	0	0	0
Lucanidae	no	0	0	0	0	0	0
Luperina	no	0	0	0	0	0	0
Lycaenidae	no	0	0	0	0	0	0
Lycosoidea	no	0	0	0	0	0	0
Macaca	no	2	0	0	0	0	0
Macroglossinae	no	0	0	0	0	0	0
Macrotermes	no	0	0	0	0	0	0
Majoidea	no	0	0	0	0	0	0
Manis	no	28	0	0	0	0	0
Mantidae	no	0	0	0	0	0	0
Martes	no	96	0	0	0	0	0
Megachiroptera	no	141	0	0	0	0	0
Meliphagoidea	no	0	0	0	0	0	0
Merostomata	no	0	0	0	0	0	0
Metatheria	no	13	0	0	0	0	0
Microcebus	no	32	0	0	0	0	0
Microchiroptera	no	212	0	0	0	0	0
Microhylidae	no	0	0	0	0	0	0
Microtus	no	0	0	0	0	0	0
Muridae	no	109	0	0	0	0	0
Mus	no	7	0	0	0	0	0
Muscicapidae	no	0	0	0	0	0	0
Mustela	no	125	0	0	0	0	0
Mustelidae	no	281	0	0	0	0	0
Myomorpha	no	68	0	0	0	0	0
Myotis	no	57	0	0	0	0	0
Myrmeleontidae	no	0	0	0	0	0	0
Myrmicinae	no	0	0	0	0	0	0
Nasutitermes	no	0	0	0	0	0	0
Nematocera	no	0	0	0	0	0	0
Nemouridae	no	0	0	0	0	0	0
Neobatrachia	no	4	0	0	0	0	0
Neognathae	no	13	0	0	0	0	0
Nesophrosyne	no	0	0	0	0	0	0
Neuropterida	no	0	0	0	0	0	0
Noctuidae	no	0	0	0	0	0	0
Nolidae	no	0	0	0	0	0	0
Notodontidae	no	0	0	0	0	0	0
Notostraca	no	0	0	0	0	0	0
Nymphalinae	no	0	0	0	0	0	0
Obtectomera	no	0	0	0	0	0	0
Ochthebius	no	0	0	0	0	0	0
Ocypodidae	no	0	0	0	0	0	0
Odontoceti	no	139	0	0	0	0	0
Oestroidea	no	0	0	0	0	0	0
Olethreutinae	no	0	0	0	0	0	0
Orbiculariae	no	0	0	0	0	0	0
Orconectes	no	0	0	0	0	0	0
Ornithodoros	no	0	0	0	0	0	0
Otariidae	no	363	0	0	0	0	0
Paguroidea	no	0	0	0	0	0	0
Palaemonoidea	no	0	0	0	0	0	0
Palaeognathae	no	0	0	0	0	0	0
Pamphagidae	no	0	0	0	0	0	0
Panheteroptera	no	1	0	0	0	0	0
Pannota	no	0	0	0	0	0	0
Papilio	no	0	0	0	0	0	0
Papilionidae	no	0	0	0	0	0	0
Papilioninae	no	0	0	0	0	0	0
Papilionoidea	no	0	0	0	0	0	0
Parastacoidea	no	0	0	0	0	0	0
Paridae	no	7	0	0	0	0	0
Parnassiinae	no	0	0	0	0	0	0
Passeriformes	no	2	0	0	0	0	0
Passeroidea	no	2	0	0	0	0	0
Pecora	yes	214	0.000967127	2.49365e-05	0.342332	2.92603e-06	0.896259	
Pelecaniformes	no	10	0	0	0	0	0
Penaeoidea	no	0	0	0	0	0	0
Pentastomida	no	0	0	0	0	0	0
Pentatomomorpha	no	0	0	0	0	0	0
Perissodactyla	no	91	0	0	0	0	0
Perlidae	no	0	0	0	0	0	0
Petroicidae	no	0	0	0	0	0	0
Phlaeothripidae	no	0	0	0	0	0	0
Phocidae	no	160	0	0	0	0	0
Phrynocephalus	no	0	0	0	0	0	0
Phyllostomidae	no	83	0	0	0	0	0
Phymatidae	no	0	0	0	0	0	0
Piciformes	no	0	0	0	0	0	0
Pieridae	no	0	0	0	0	0	0
Pitheciidae	no	3	0	0	0	0	0
Platypezoidea	no	0	0	0	0	0	0
Platyrrhini	no	61	0	0	0	0	0
Plecoptera	no	0	0	0	0	0	0
Pleocyemata	no	0	0	0	0	0	0
Plethodontidae	no	8	0	0	0	0	0
Poduromorpha	no	0	0	0	0	0	0
Prioninae	no	0	0	0	0	0	0
Proboscidea	yes	16309	0.00126613	1.40108e-05	0.0743596	1.78308e-06	0.181197	
Procellariiformes	no	0	0	0	0	0	0
Proechimys	no	19	0	0	0	0	0
Protobothrops	no	0	0	0	0	0	0
Psittaciformes	no	0	0	0	0	0	0
Psoroptidia	no	0	0	0	0	0	0
Psychodoidea	no	0	0	0	0	0	0
Pteropodidae	no	30	0	0	0	0	0
Pteropodinae	no	13	0	0	0	0	0
Pyralidae	no	0	0	0	0	0	0
Pyrgomorphoidea	no	0	0	0	0	0	0
Rana	no	0	0	0	0	0	0
Ranoidea	no	0	0	0	0	0	0
Rattus	no	71	0	0	0	0	0
Reduvioidea	no	0	0	0	0	0	0
Reticulitermes	no	0	0	0	0	0	0
Rhacophoridae	no	0	0	0	0	0	0
Rhinolophus	no	93	0	0	0	0	0
Rodentia	no	0	0	0	0	0	0
Ruminantia	no	10	0	0	0	0	0
Salamandridae	no	1	0	0	0	0	0
Sarcophaga	no	0	0	0	0	0	0
Saturniidae	no	0	0	0	0	0	0
Satyrini	no	0	0	0	0	0	0
Scandentia	no	22	0	0	0	0	0
Scarabaeiformia	no	0	0	0	0	0	0
Sciaroidea	no	0	0	0	0	0	0
Scincidae	no	93	0	0	0	0	0
Sciurinae	no	9	0	0	0	0	0
Setisura	no	0	0	0	0	0	0
Silphidae	no	0	0	0	0	0	0
Sinopodisma	no	0	0	0	0	0	0
Smerinthinae	no	0	0	0	0	0	0
Sorex	no	43	0	0	0	0	0
Sphenisciformes	no	8	0	0	0	0	0
Staphyliniformia	no	0	0	0	0	0	0
Stratiomyidae	no	0	0	0	0	0	0
Strepsirrhini	no	37	0	0	0	0	0
Sturnidae	no	0	0	0	0	0	0
Suina	yes	55285	6.46169e-05	2.91184e-07	0.0143409	6.60395e-08	0.0681945
Sylvioidea	no	19	0	0	0	0	0
Syrphidae	no	0	0	0	0	0	0
Syrphinae	no	0	0	0	0	0	0
Tabaninae	no	0	0	0	0	0	0
Tarsiiformes	no	2	0	0	0	0	0
Tenthredinidae	no	0	0	0	0	0	0
Tephritidae	no	0	0	0	0	0	0
Termitidae	no	0	0	0	0	0	0
Termitinae	no	0	0	0	0	0	0
Testudines	no	2	0	0	0	0	0
Testudinoidea	no	4	0	0	0	0	0
Tetrigoidea	no	0	0	0	0	0	0
Tettigoniidea	no	0	0	0	0	0	0
Tettigonioidea	no	0	0	0	0	0	0
Thraupidae	no	0	0	0	0	0	0
Thripidae	no	0	0	0	0	0	0
Tinamiformes	no	0	0	0	0	0	0
Tingoidea	no	0	0	0	0	0	0
Tipuloidea	no	0	0	0	0	0	0
Tortricidae	no	0	0	0	0	0	0
Toxicofera	no	46	0	0	0	0	0
Trachypithecus	no	5	0	0	0	0	0
Turdus	no	0	0	0	0	0	0
Tylopoda	no	2	0	0	0	0	0
Typhlatya	no	0	0	0	0	0	0
Tyrannidae	no	1	0	0	0	0	0
Unipeltata	no	0	0	0	0	0	0
Ursidae	no	201	0	0	0	0	0
Vermilingua	no	14	0	0	0	0	0
Vespoidea	no	0	0	0	0	0	0
Viperidae	no	0	0	0	0	0	0
Xanthoidea	no	0	0	0	0	0	0
Xenopus	no	24	0	0	0	0	0
Xerinae	no	6	0	0	0	0	0
Yponomeutoidea	no	0	0	0	0	0	0
Zygaenidae	no	0	0	0	0	0	0
Zygentoma	no	0	0	0	0	0	0
